Disposition Quarter,NoPretrialDetention,PretrialDetention,Total Cases,Percent of defendants detained pretrial
2017 Q1,182,40,222,18.01801802
2017 Q2,191,53,244,21.72131148
2017 Q3,208,61,269,22.67657993
2017 Q4,216,42,258,16.27906977
2018 Q1,191,58,249,23.29317269
2018 Q2,218,60,278,21.58273381
2018 Q3,159,45,204,22.05882353
2018 Q4,204,59,263,22.43346008
2019 Q1,187,60,247,24.29149798
2019 Q2,214,68,282,24.11347518
2019 Q3,197,58,255,22.74509804
2019 Q4,183,55,238,23.1092437
2020 Q1,155,56,211,26.54028436
2020 Q2,100,43,143,30.06993007
2020 Q3,162,47,209,22.48803828
2020 Q4,154,36,190,18.94736842
2021 Q1,136,39,175,22.28571429
2021 Q2,158,46,204,22.54901961
2021 Q3,153,48,201,23.88059701
2021 Q4,209,39,248,15.72580645
2022 Q1,164,36,200,18
2022 Q2,162,49,211,23.22274882
2022 Q3,149,56,205,27.31707317
2022 Q4,120,36,156,23.07692308
2023 Q1,155,50,205,24.3902439
2023 Q2,146,61,207,29.46859903
2023 Q3,149,56,205,27.31707317
2023 Q4,140,57,197,28.93401015
2024 Q1,142,68,210,32.38095238
2024 Q2,119,71,190,37.36842105
2024 Q3,148,65,213,30.51643192
2024 Q4,90,49,139,35.25179856
2025 Q1,71,52,123,42.27642276
2025 Q2,136,76,212,35.8490566
2025 Q3,113,66,179,36.87150838
2025 Q4,102,77,179,43.01675978
