Disposition Quarter,NoPretrialDetention,PretrialDetention,Total,Percent of defendants detained pretrial
2017 Q1,370,86,456,18.85964912
2017 Q2,363,110,473,23.25581395
2017 Q3,379,95,474,20.04219409
2017 Q4,375,91,466,19.527897
2018 Q1,348,120,468,25.64102564
2018 Q2,344,86,430,20
2018 Q3,367,106,473,22.41014799
2018 Q4,416,99,515,19.22330097
2019 Q1,333,110,443,24.83069977
2019 Q2,404,126,530,23.77358491
2019 Q3,322,110,432,25.46296296
2019 Q4,287,110,397,27.70780856
2020 Q1,270,87,357,24.3697479
2020 Q2,223,51,274,18.61313869
2020 Q3,278,54,332,16.26506024
2020 Q4,274,54,328,16.46341463
2021 Q1,260,78,338,23.07692308
2021 Q2,307,104,411,25.30413625
2021 Q3,335,97,432,22.4537037
2021 Q4,308,103,411,25.06082725
2022 Q1,342,108,450,24
2022 Q2,353,110,463,23.75809935
2022 Q3,304,90,394,22.84263959
2022 Q4,315,116,431,26.91415313
2023 Q1,339,126,465,27.09677419
2023 Q2,324,85,409,20.78239609
2023 Q3,318,70,388,18.04123711
2023 Q4,261,75,336,22.32142857
2024 Q1,295,66,361,18.28254848
2024 Q2,260,69,329,20.97264438
2024 Q3,279,61,340,17.94117647
2024 Q4,196,69,265,26.03773585
2025 Q1,176,55,231,23.80952381
2025 Q2,261,62,323,19.19504644
2025 Q3,284,97,381,25.45931759
2025 Q4,301,59,360,16.38888889
