Disposition Quarter,NoPretrialDetention,PretrialDetention,Total,Percent of defendants detained pretrial
2017 Q1,370.0,87.0,457.0,19.03719912
2017 Q2,362.0,111.0,473.0,23.46723044
2017 Q3,380.0,96.0,476.0,20.16806723
2017 Q4,374.0,91.0,465.0,19.56989247
2018 Q1,346.0,120.0,466.0,25.75107296
2018 Q2,342.0,86.0,428.0,20.09345794
2018 Q3,365.0,106.0,471.0,22.50530786
2018 Q4,415.0,99.0,514.0,19.26070039
2019 Q1,331.0,110.0,441.0,24.94331066
2019 Q2,403.0,126.0,529.0,23.81852552
2019 Q3,324.0,109.0,433.0,25.17321016
2019 Q4,287.0,110.0,397.0,27.70780856
2020 Q1,269.0,88.0,357.0,24.64985994
2020 Q2,216.0,51.0,267.0,19.1011236
2020 Q3,274.0,50.0,324.0,15.43209877
2020 Q4,267.0,53.0,320.0,16.5625
2021 Q1,255.0,76.0,331.0,22.96072508
2021 Q2,299.0,104.0,403.0,25.80645161
2021 Q3,322.0,96.0,418.0,22.96650718
2021 Q4,300.0,102.0,402.0,25.37313433
2022 Q1,332.0,96.0,428.0,22.42990654
2022 Q2,340.0,107.0,447.0,23.93736018
2022 Q3,302.0,82.0,384.0,21.35416667
2022 Q4,299.0,108.0,407.0,26.53562654
2023 Q1,322.0,111.0,433.0,25.63510393
