Filing Quarter,Missing,Highest income zip code cases filed,Lowest income zip code cases filed,Middle income quintile cases filed,Second highest income quintile filed,Second lowest income quintile Filed,Total Cases Filed,Percent of violent crimes occuring in highest income zip codes,Percent of violent crimes occuring in lowest income zip codes
2017 Q1,4,12,0,9,25,41,91,13.18681319,0
2017 Q2,1,16,1,19,34,42,113,14.15929204,0.884955752
2017 Q3,0,18,2,13,36,50,119,15.12605042,1.680672269
2017 Q4,2,25,0,13,28,39,107,23.36448598,0
2018 Q1,4,14,0,5,24,46,93,15.05376344,0
2018 Q2,1,15,1,11,34,46,108,13.88888889,0.925925926
2018 Q3,1,13,0,12,23,57,106,12.26415094,0
2018 Q4,4,17,0,15,31,43,110,15.45454545,0
2019 Q1,1,10,0,13,27,43,94,10.63829787,0
2019 Q2,2,12,2,8,31,39,94,12.76595745,2.127659574
2019 Q3,1,13,2,9,32,47,104,12.5,1.923076923
2019 Q4,3,16,0,11,30,44,104,15.38461538,0
2020 Q1,8,30,1,12,30,49,130,23.07692308,0.769230769
2020 Q2,1,26,3,15,27,46,118,22.03389831,2.542372881
2020 Q3,4,25,2,19,28,40,118,21.18644068,1.694915254
2020 Q4,3,22,2,9,33,47,116,18.96551724,1.724137931
2021 Q1,0,19,0,12,30,52,113,16.81415929,0
2021 Q2,2,26,1,12,30,43,114,22.80701754,0.877192982
2021 Q3,2,24,0,17,26,39,108,22.22222222,0
2021 Q4,4,27,0,11,30,28,100,27,0
2022 Q1,0,24,0,8,22,36,90,26.66666667,0
2022 Q2,3,12,0,9,33,42,99,12.12121212,0
2022 Q3,6,31,0,12,27,43,119,26.05042017,0
2022 Q4,3,27,0,16,29,49,124,21.77419355,0
2023 Q1,2,22,0,12,27,53,116,18.96551724,0
2023 Q2,6,25,0,16,51,54,152,16.44736842,0
2023 Q3,1,29,1,20,34,43,128,22.65625,0.78125
2023 Q4,2,13,1,23,32,52,123,10.56910569,0.81300813
2024 Q1,3,22,2,10,25,41,103,21.3592233,1.941747573
2024 Q2,3,23,0,11,39,46,122,18.85245902,0
2024 Q3,1,33,1,10,55,49,149,22.14765101,0.67114094
2024 Q4,1,25,0,13,25,46,110,22.72727273,0
2025 Q1,3,28,0,12,34,54,131,21.3740458,0
2025 Q2,2,28,0,20,42,46,138,20.28985507,0
2025 Q3,2,26,0,9,40,50,127,20.47244094,0
2025 Q4,2,30,0,9,42,46,129,23.25581395,0
