Filing Quarter,Victim contact,No victim contact,Total,Percent of cases with at least one contact
2020 Q1,214,24,238,89.91596639
2020 Q2,202,27,229,88.20960699
2020 Q3,195,18,213,91.54929577
2020 Q4,207,16,223,92.82511211
2021 Q1,181,21,202,89.6039604
2021 Q2,219,19,238,92.01680672
2021 Q3,212,23,235,90.21276596
2021 Q4,184,20,204,90.19607843
2022 Q1,176,8,184,95.65217391
2022 Q2,168,28,196,85.71428571
2022 Q3,199,21,220,90.45454545
2022 Q4,216,17,233,92.70386266
2023 Q1,195,5,200,97.5
2023 Q2,239,6,245,97.55102041
2023 Q3,240,7,247,97.1659919
2023 Q4,244,12,256,95.3125
2024 Q1,195,2,197,98.98477157
2024 Q2,231,3,234,98.71794872
2024 Q3,274,4,278,98.56115108
2024 Q4,221,6,227,97.35682819
2025 Q1,228,7,235,97.0212766
2025 Q2,226,4,230,98.26086957
2025 Q3,236,4,240,98.33333333
2025 Q4,231,15,246,93.90243902
