Quarter,Felony Filed,Misdemeanor Filed,Petty Offense/Infraction Filed,Total Felony Referrals,Percent of felony referrals charged as misdemeanors,Felony Charge Reduced to Misdemeanor,Felony Charge Not Reduced to Misdemeanor,Total Felony Charges Disposed,Percent of felony filings disposed as misdemeanors
2017 Q1,1102,14,1,1117,1.253357207,335,540,875,38.28571429
2017 Q2,1054,9,0,1063,0.846660395,392,581,973,40.28776978
2017 Q3,1172,18,0,1190,1.512605042,409,495,904,45.24336283
2017 Q4,1009,19,0,1028,1.848249027,388,567,955,40.62827225
2018 Q1,1250,26,0,1276,2.037617555,382,594,976,39.13934426
2018 Q2,1287,14,2,1303,1.074443592,452,601,1053,42.92497626
2018 Q3,1369,25,0,1394,1.793400287,440,572,1012,43.47826087
2018 Q4,1145,13,0,1158,1.122625216,484,609,1093,44.28179323
2019 Q1,1228,15,0,1243,1.206757844,539,643,1182,45.60067682
2019 Q2,1148,24,0,1172,2.04778157,481,589,1070,44.95327103
2019 Q3,1128,28,0,1156,2.422145329,473,532,1005,47.06467662
2019 Q4,1112,18,0,1130,1.592920354,458,462,920,49.7826087
2020 Q1,1203,31,0,1234,2.512155592,454,451,905,50.16574586
2020 Q2,1068,21,0,1089,1.928374656,215,232,447,48.098434
2020 Q3,856,11,0,867,1.268742791,318,337,655,48.54961832
2020 Q4,844,13,0,857,1.516919487,292,315,607,48.10543657
2021 Q1,765,27,0,792,3.409090909,313,395,708,44.20903955
2021 Q2,824,32,0,856,3.738317757,305,418,723,42.18533887
2021 Q3,840,38,0,878,4.328018223,373,388,761,49.01445466
2021 Q4,828,25,0,853,2.930832356,278,401,679,40.94256259
2022 Q1,1005,27,0,1032,2.61627907,288,389,677,42.54062038
2022 Q2,767,33,0,800,4.125,284,433,717,39.60948396
2022 Q3,779,46,1,827,5.562273277,297,396,693,42.85714286
2022 Q4,779,42,0,821,5.115712546,267,380,647,41.26738794
2023 Q1,774,39,1,814,4.791154791,292,391,683,42.75256223
2023 Q2,739,21,1,761,2.759526938,300,365,665,45.11278195
2023 Q3,765,33,1,799,4.130162703,276,319,595,46.38655462
2023 Q4,779,26,0,808,3.217821782,274,285,559,49.01610018
2024 Q1,814,23,1,838,2.744630072,257,317,574,44.77351916
2024 Q2,702,28,2,733,3.819918145,258,303,561,45.98930481
2024 Q3,781,40,2,825,4.848484848,261,325,586,44.53924915
2024 Q4,629,25,0,655,3.816793893,202,189,391,51.66240409
2025 Q1,618,33,1,653,5.053598775,206,227,433,47.57505774
2025 Q2,837,30,1,869,3.452243959,230,265,495,46.46464646
2025 Q3,727,28,1,759,3.689064559,262,264,526,49.80988593
2025 Q4,653,27,0,681,3.964757709,223,244,467,47.751606
