Filing Quarter,Felonies filed per prosecutor,Felonies resolved per prosecutor
2017 Q1,22.5,22.1111
2017 Q2,21.8889,21.5
2017 Q3,26.7778,24.1111
2017 Q4,28.5556,25.5714
2018 Q1,24.1,24.375
2018 Q2,30.1111,25.25
2018 Q3,26.8,37
2018 Q4,19.4545,25.625
2019 Q1,19.3,25.625
2019 Q2,20.5833,24.875
2019 Q3,26.2,28.1429
2019 Q4,24.8182,21
2020 Q1,22.7,27.7143
2020 Q2,23,27.3333
2020 Q3,23.1,28.5
2020 Q4,21,21.7778
2021 Q1,23.9,29.7143
2021 Q2,27.125,24.7778
2021 Q3,32,29.875
2021 Q4,26.625,26.3333
2022 Q1,28.125,44.8
2022 Q2,24,34.1429
2022 Q3,26.875,28.4286
2022 Q4,23.75,25.25
2023 Q1,25.5,29.5714
2023 Q2,38.2,23.1429
2023 Q3,35.1667,28.8571
2023 Q4,24.6667,25.2857
2024 Q1,28.5,36.4
2024 Q2,26.1667,37.5
2024 Q3,27.3333,40.2
2024 Q4,27.6,30.5
