Disposition Quarter,Drugs,DUI,Other,Person,Property,Sex Offense,Traffic,Weapons,Total,"Percent involving person, sex, or weapons offenses",Percent involving DUI,Percent involving other offenses
2018 Q1,9,112,24,35,20,3,22,1,226,17.25663717,49.55752212,33.18584071
2018 Q2,15,58,10,23,23,4,5,1,139,20.14388489,41.72661871,38.1294964
2018 Q3,9,45,11,32,22,0,4,3,126,27.77777778,35.71428571,36.50793651
2018 Q4,10,46,9,23,5,3,8,0,104,25,44.23076923,30.76923077
2019 Q1,12,43,2,16,15,3,8,0,99,19.19191919,43.43434343,37.37373737
2019 Q2,11,51,7,25,21,1,10,0,126,20.63492063,40.47619048,38.88888889
2019 Q3,8,56,7,21,11,4,4,0,111,22.52252252,50.45045045,27.02702703
2019 Q4,15,50,6,19,11,2,12,1,116,18.96551724,43.10344828,37.93103448
2020 Q1,9,40,5,17,15,4,5,3,98,24.48979592,40.81632653,34.69387755
2020 Q2,8,27,3,19,7,2,1,1,68,32.35294118,39.70588235,27.94117647
2020 Q3,7,32,0,11,15,1,2,4,72,22.22222222,44.44444444,33.33333333
2020 Q4,6,33,7,22,17,0,3,0,88,25,37.5,37.5
2021 Q1,3,30,4,11,8,2,5,1,64,21.875,46.875,31.25
2021 Q2,8,28,4,14,17,0,4,3,78,21.79487179,35.8974359,42.30769231
2021 Q3,19,25,8,9,17,2,9,3,92,15.2173913,27.17391304,57.60869565
2021 Q4,9,30,6,20,18,0,6,2,91,24.17582418,32.96703297,42.85714286
2022 Q1,16,33,6,22,18,3,3,4,105,27.61904762,31.42857143,40.95238095
2022 Q2,11,41,7,18,13,2,5,1,98,21.42857143,41.83673469,36.73469388
2022 Q3,6,61,11,14,14,2,6,0,114,14.03508772,53.50877193,32.45614035
2022 Q4,7,48,1,17,14,1,4,0,92,19.56521739,52.17391304,28.26086957
2023 Q1,6,49,4,13,14,1,5,1,93,16.12903226,52.68817204,31.1827957
2023 Q2,6,68,9,18,13,3,3,0,120,17.5,56.66666667,25.83333333
2023 Q3,7,50,1,24,10,1,4,2,99,27.27272727,50.50505051,22.22222222
2023 Q4,3,53,7,19,8,4,2,2,98,25.51020408,54.08163265,20.40816327
2024 Q1,6,52,8,16,10,1,1,0,94,18.08510638,55.31914894,26.59574468
2024 Q2,4,50,3,17,16,1,6,1,98,19.3877551,51.02040816,29.59183673
2024 Q3,12,48,4,14,7,4,4,0,93,19.35483871,51.61290323,29.03225806
2024 Q4,5,15,7,10,9,2,3,1,52,25,28.84615385,46.15384615
2025 Q1,2,27,2,12,6,3,1,0,53,28.30188679,50.94339623,20.75471698
2025 Q2,6,62,4,17,8,2,5,0,104,18.26923077,59.61538462,22.11538462
2025 Q3,7,57,3,12,16,2,7,2,106,15.09433962,53.77358491,31.13207547
2025 Q4,5,42,2,10,9,0,8,2,78,15.38461538,53.84615385,30.76923077
