Disposition Quarter,NoPretrialDetention,PretrialDetention,Total,Percent of defendants detained pretrial
2018 Q1,383,81,464,17.45689655
2018 Q2,273,126,399,31.57894737
2018 Q3,301,123,424,29.00943396
2018 Q4,284,97,381,25.45931759
2019 Q1,222,89,311,28.61736334
2019 Q2,236,112,348,32.18390805
2019 Q3,249,114,363,31.40495868
2019 Q4,275,110,385,28.57142857
2020 Q1,245,133,378,35.18518519
2020 Q2,167,80,247,32.38866397
2020 Q3,228,73,301,24.25249169
2020 Q4,193,90,283,31.80212014
2021 Q1,202,71,273,26.00732601
2021 Q2,205,72,277,25.99277978
2021 Q3,181,109,290,37.5862069
2021 Q4,216,125,341,36.6568915
2022 Q1,235,109,344,31.68604651
2022 Q2,242,100,342,29.23976608
2022 Q3,203,125,328,38.1097561
2022 Q4,196,89,285,31.22807018
2023 Q1,205,88,293,30.03412969
2023 Q2,225,93,318,29.24528302
2023 Q3,188,78,266,29.32330827
2023 Q4,205,75,280,26.78571429
2024 Q1,163,91,254,35.82677165
2024 Q2,225,85,310,27.41935484
2024 Q3,262,80,342,23.39181287
2024 Q4,133,62,195,31.79487179
2025 Q1,161,60,221,27.14932127
2025 Q2,257,82,339,24.18879056
2025 Q3,230,75,305,24.59016393
2025 Q4,198,63,261,24.13793103
