Disposition Quarter,Average number of days to felony resolution,Median number of days to felony resolution
2017 Q1,201.4827,161
2017 Q2,194.4211,156
2017 Q3,195.5439,144
2017 Q4,193.4425,155
2018 Q1,206.1241,170.5
2018 Q2,211.0301,166
2018 Q3,223.88,176
2018 Q4,196.0557,154
2019 Q1,203.6058,160
2019 Q2,210.5108,160
2019 Q3,202.0856,161
2019 Q4,220.691,170
2020 Q1,222.4428,174
2020 Q2,287.9082,239
2020 Q3,298.8832,240
2020 Q4,306.4337,253
2021 Q1,315.1166,247
2021 Q2,284.4397,214
2021 Q3,275.307,226
2021 Q4,270.5204,216
2022 Q1,288.6055,232
2022 Q2,292.6772,224
2022 Q3,288.0856,225
2022 Q4,286.123,218
2023 Q1,305.924,239
2023 Q2,258.2572,212
2023 Q3,269.8215,213
2023 Q4,257.3519,185
2024 Q1,276.0247,207
2024 Q2,247.3265,197
2024 Q3,241.3,176.5
2024 Q4,246.6915,198.5
