Disposition Quarter,Not disposed within 120 days,Disposed within 120 days,Total Cases Disposed,Felonies not resolved within 120 days,Felonies resolved within 120 days
2017 Q1,339.0,168.0,507.0,66.86390533,33.13609467
2017 Q2,316.0,231.0,547.0,57.76965265,42.23034735
2017 Q3,280.0,199.0,479.0,58.45511482,41.54488518
2017 Q4,258.0,172.0,430.0,60.0,40.0
2018 Q1,349.0,191.0,540.0,64.62962963,35.37037037
2018 Q2,378.0,201.0,579.0,65.28497409,34.71502591
2018 Q3,405.0,225.0,630.0,64.28571429,35.71428571
2018 Q4,312.0,176.0,488.0,63.93442623,36.06557377
2019 Q1,307.0,177.0,484.0,63.42975207,36.57024793
2019 Q2,373.0,237.0,610.0,61.14754098,38.85245902
2019 Q3,310.0,209.0,519.0,59.73025048,40.26974952
2019 Q4,366.0,189.0,555.0,65.94594595,34.05405405
2020 Q1,372.0,195.0,567.0,65.60846561,34.39153439
2020 Q2,213.0,59.0,272.0,78.30882353,21.69117647
2020 Q3,281.0,62.0,343.0,81.92419825,18.07580175
2020 Q4,307.0,72.0,379.0,81.00263852,18.99736148
2021 Q1,344.0,83.0,427.0,80.56206089,19.43793911
2021 Q2,301.0,95.0,396.0,76.01010101,23.98989899
2021 Q3,303.0,119.0,422.0,71.80094787,28.19905213
2021 Q4,292.0,84.0,376.0,77.65957447,22.34042553
2022 Q1,325.0,100.0,425.0,76.47058824,23.52941176
2022 Q2,316.0,96.0,412.0,76.69902913,23.30097087
2022 Q3,318.0,113.0,431.0,73.78190255,26.21809745
2022 Q4,266.0,88.0,354.0,75.14124294,24.85875706
2023 Q1,245.0,53.0,298.0,82.2147651,17.7852349
