Disposition Quarter,Average number of hearings per case
2017 Q1,8.6344
2017 Q2,8.5936
2017 Q3,8.9612
2017 Q4,9.3275
2018 Q1,9.2813
2018 Q2,9.5024
2018 Q3,8.8172
2018 Q4,8.8727
2019 Q1,9.2038
2019 Q2,9.12
2019 Q3,9.1581
2019 Q4,9.1841
2020 Q1,9.395
2020 Q2,10.0235
2020 Q3,10.8153
2020 Q4,10.5082
2021 Q1,11.6451
2021 Q2,11.1763
2021 Q3,10.0821
2021 Q4,10.9867
2022 Q1,10.9276
2022 Q2,11.3737
2022 Q3,11.1538
2022 Q4,11.0317
2023 Q1,11.6188
2023 Q2,11.3044
2023 Q3,10.8969
2023 Q4,10.9744
2024 Q1,11.504
2024 Q2,11.0223
2024 Q3,10.1258
2024 Q4,10.8433
2025 Q1,10.1896
2025 Q2,10.9824
