Disposition Quarter,Not disposed within 30 days,Disposed within 30 days,Total Cases Disposed,Misdemeanors not resolved within 30 days,Misdemeanors resolved within 30 days
2017 Q1,515.0,115.0,630.0,81.74603175,18.25396825
2017 Q2,549.0,158.0,707.0,77.65205092,22.34794908
2017 Q3,629.0,153.0,782.0,80.43478261,19.56521739
2017 Q4,594.0,146.0,740.0,80.27027027,19.72972973
2018 Q1,719.0,240.0,959.0,74.97393118,25.02606882
2018 Q2,718.0,225.0,943.0,76.13997879,23.86002121
2018 Q3,695.0,229.0,924.0,75.21645022,24.78354978
2018 Q4,625.0,219.0,844.0,74.0521327,25.9478673
2019 Q1,715.0,246.0,961.0,74.40166493,25.59833507
2019 Q2,686.0,164.0,850.0,80.70588235,19.29411765
2019 Q3,701.0,223.0,924.0,75.86580087,24.13419913
2019 Q4,616.0,192.0,808.0,76.23762376,23.76237624
2020 Q1,560.0,143.0,703.0,79.65860597,20.34139403
2020 Q2,317.0,124.0,441.0,71.88208617,28.11791383
2020 Q3,573.0,60.0,633.0,90.52132701,9.478672986
2020 Q4,628.0,43.0,671.0,93.59165425,6.408345753
2021 Q1,761.0,43.0,804.0,94.65174129,5.348258706
2021 Q2,702.0,41.0,743.0,94.48183042,5.518169583
2021 Q3,837.0,193.0,1030.0,81.26213592,18.73786408
2021 Q4,811.0,375.0,1186.0,68.38111298,31.61888702
2022 Q1,865.0,297.0,1162.0,74.44061962,25.55938038
2022 Q2,859.0,308.0,1167.0,73.6075407,26.3924593
2022 Q3,804.0,279.0,1083.0,74.23822715,25.76177285
2022 Q4,766.0,260.0,1026.0,74.6588694,25.3411306
2023 Q1,785.0,248.0,1033.0,75.99225557,24.00774443
