Filing Quarter,Missing,Highest income zip code cases filed,Lowest income zip code cases filed,Middle income quintile cases filed,Second highest income quintile filed,Second lowest income quintile Filed,Total Cases Filed,Percent of violent crimes occuring in highest income zip codes,Percent of violent crimes occuring in lowest income zip codes
2017 Q1,2,1,3,14,8,9,37,2.702702703,8.108108108
2017 Q2,3,2,7,12,11,1,36,5.555555556,19.44444444
2017 Q3,2,7,8,19,9,3,48,14.58333333,16.66666667
2017 Q4,3,4,8,13,10,2,40,10,20
2018 Q1,1,2,5,12,16,2,38,5.263157895,13.15789474
2018 Q2,1,5,6,16,5,3,36,13.88888889,16.66666667
2018 Q3,2,4,5,22,6,4,43,9.302325581,11.62790698
2018 Q4,0,4,3,13,4,4,28,14.28571429,10.71428571
2019 Q1,0,4,6,17,3,2,32,12.5,18.75
2019 Q2,0,2,4,19,4,0,29,6.896551724,13.79310345
2019 Q3,6,1,6,23,11,3,50,2,12
2019 Q4,0,2,6,26,13,1,48,4.166666667,12.5
2020 Q1,3,3,4,11,7,3,31,9.677419355,12.90322581
2020 Q2,0,1,5,12,12,3,33,3.03030303,15.15151515
2020 Q3,0,2,9,8,19,5,43,4.651162791,20.93023256
2020 Q4,4,0,7,16,8,1,36,0,19.44444444
2021 Q1,0,1,8,16,13,1,39,2.564102564,20.51282051
2021 Q2,1,2,10,13,10,2,38,5.263157895,26.31578947
2021 Q3,2,4,5,11,9,1,32,12.5,15.625
2021 Q4,0,3,9,10,14,4,40,7.5,22.5
2022 Q1,0,3,6,21,20,1,51,5.882352941,11.76470588
2022 Q2,0,3,4,12,10,10,39,7.692307692,10.25641026
2022 Q3,0,3,3,25,15,4,50,6,6
2022 Q4,0,2,6,14,14,6,42,4.761904762,14.28571429
2023 Q1,1,3,3,13,7,9,36,8.333333333,8.333333333
2023 Q2,0,4,12,21,14,5,56,7.142857143,21.42857143
2023 Q3,3,8,8,13,10,2,44,18.18181818,18.18181818
2023 Q4,0,3,4,15,8,3,33,9.090909091,12.12121212
2024 Q1,1,1,9,10,9,5,35,2.857142857,25.71428571
