Disposition Quarter,Not disposed within 120 days,Disposed within 120 days,Total Cases Disposed,Felonies not resolved within 120 days,Felonies resolved within 120 days
2017 Q1,141,66,207,68.11594203,31.88405797
2017 Q2,144,74,218,66.05504587,33.94495413
2017 Q3,158,64,222,71.17117117,28.82882883
2017 Q4,121,71,192,63.02083333,36.97916667
2018 Q1,133,69,202,65.84158416,34.15841584
2018 Q2,146,61,207,70.53140097,29.46859903
2018 Q3,173,58,231,74.89177489,25.10822511
2018 Q4,164,49,213,76.99530516,23.00469484
2019 Q1,164,38,202,81.18811881,18.81188119
2019 Q2,163,47,210,77.61904762,22.38095238
2019 Q3,159,54,213,74.64788732,25.35211268
2019 Q4,168,41,209,80.38277512,19.61722488
2020 Q1,180,37,217,82.94930876,17.05069124
2020 Q2,149,30,179,83.24022346,16.75977654
2020 Q3,193,44,237,81.43459916,18.56540084
2020 Q4,170,40,210,80.95238095,19.04761905
2021 Q1,189,34,223,84.75336323,15.24663677
2021 Q2,183,48,231,79.22077922,20.77922078
2021 Q3,224,39,263,85.17110266,14.82889734
2021 Q4,138,30,168,82.14285714,17.85714286
2022 Q1,179,30,209,85.64593301,14.35406699
2022 Q2,204,24,228,89.47368421,10.52631579
2022 Q3,155,27,182,85.16483516,14.83516484
2022 Q4,152,37,189,80.42328042,19.57671958
2023 Q1,168,27,195,86.15384615,13.84615385
2023 Q2,141,29,170,82.94117647,17.05882353
2023 Q3,153,33,186,82.25806452,17.74193548
2023 Q4,144,15,159,90.56603774,9.433962264
2024 Q1,141,11,152,92.76315789,7.236842105
2024 Q2,171,24,195,87.69230769,12.30769231
2024 Q3,140,38,178,78.65168539,21.34831461
2024 Q4,126,38,164,76.82926829,23.17073171
