Disposition Quarter,Average number of hearings per case
2017 Q1,7.125
2017 Q2,6.8767
2017 Q3,7.1586
2017 Q4,6.4249
2018 Q1,6.7268
2018 Q2,6.9378
2018 Q3,7.2251
2018 Q4,7.3645
2019 Q1,7.7476
2019 Q2,7.9202
2019 Q3,7.5622
2019 Q4,7.8804
2020 Q1,7.6606
2020 Q2,7.6816
2020 Q3,7.6471
2020 Q4,8.8531
2021 Q1,8.2643
2021 Q2,8.2009
2021 Q3,9.0517
2021 Q4,8.4229
2022 Q1,8.8578
2022 Q2,9.6681
2022 Q3,9.1818
2022 Q4,9.0838
2023 Q1,9.1731
2023 Q2,9.8882
2023 Q3,8.9896
2023 Q4,10.1697
2024 Q1,10.628
2024 Q2,10.2871
2024 Q3,10.1444
2024 Q4,9.5205
