Filing Quarter,Felonies filed per prosecutor,Felonies resolved per prosecutor
2017 Q1,29.6098,26.1795
2017 Q2,29.0233,27.9750
2017 Q3,28.1111,27.0000
2017 Q4,27.4762,28.2683
2018 Q1,27.6744,30.0000
2018 Q2,27.4468,28.1522
2018 Q3,28.8913,28.4318
2018 Q4,26.5833,24.8043
2019 Q1,24.5000,26.3200
2019 Q2,25.2222,29.4898
2019 Q3,23.0938,26.9583
2019 Q4,20.6250,23.4615
2020 Q1,19.7429,25.5179
2020 Q2,14.8824,16.3261
2020 Q3,16.3649,16.1724
2020 Q4,15.9324,17.8500
2021 Q1,17.4384,17.7833
2021 Q2,16.9865,17.9254
2021 Q3,16.9306,17.9306
2021 Q4,14.8784,18.7794
2022 Q1,15.9714,19.8358
2022 Q2,16.0580,21.5781
2022 Q3,16.4348,19.6957
2022 Q4,14.9296,16.8310
2023 Q1,17.7761,18.1268
2023 Q2,15.8267,18.4545
2023 Q3,17.5128,17.5507
2023 Q4,15.5395,17.0870
2024 Q1,17.4416,17.5077
2024 Q2,17.5946,17.7600
2024 Q3,17.4321,17.0789
2024 Q4,17.7237,13.9032
2025 Q1,16.7273,14.1803
2025 Q2,18.2597,20.2286
2025 Q3,21.1250,17.2368
2025 Q4,18.6271,16.8308
