Filing Quarter,Felony,Misdemeanor,Petty Offense/Infraction
2017 Q1,1245.0,3546.0,213.0
2017 Q2,1301.0,3408.0,217.0
2017 Q3,1433.0,3466.0,166.0
2017 Q4,1449.0,3469.0,167.0
2018 Q1,1318.0,3376.0,155.0
2018 Q2,1414.0,3473.0,171.0
2018 Q3,1478.0,3541.0,228.0
2018 Q4,1278.0,3650.0,220.0
2019 Q1,1336.0,4043.0,212.0
2019 Q2,1466.0,3735.0,194.0
2019 Q3,1394.0,3696.0,194.0
2019 Q4,1485.0,3794.0,181.0
2020 Q1,1304.0,3535.0,132.0
2020 Q2,1083.0,2244.0,80.0
2020 Q3,1139.0,3124.0,109.0
2020 Q4,1063.0,2950.0,135.0
2021 Q1,984.0,3022.0,102.0
2021 Q2,1106.0,3680.0,128.0
2021 Q3,1172.0,3273.0,93.0
2021 Q4,1121.0,3129.0,106.0
2022 Q1,1007.0,2767.0,84.0
2022 Q2,966.0,2787.0,122.0
2022 Q3,1070.0,2906.0,132.0
2022 Q4,1051.0,2699.0,127.0
2023 Q1,1136.0,2554.0,171.0
