Filing Quarter,Felony,Misdemeanor,Petty/Offense,Total,Percent of filed cases with a felony top charge
2017 Q1,1243,3545,214,5002,24.85005998
2017 Q2,1300,3409,217,4926,26.39058059
2017 Q3,1433,3467,166,5066,28.28661666
2017 Q4,1449,3470,167,5086,28.48997247
2018 Q1,1316,3376,155,4847,27.15081494
2018 Q2,1412,3472,171,5055,27.93273986
2018 Q3,1480,3542,228,5250,28.19047619
2018 Q4,1276,3651,220,5147,24.79114047
2019 Q1,1332,4044,212,5588,23.83679313
2019 Q2,1465,3739,194,5398,27.13968136
2019 Q3,1391,3703,194,5288,26.30484115
2019 Q4,1481,3794,182,5457,27.13945391
2020 Q1,1305,3555,132,4992,26.14182692
2020 Q2,1080,2259,80,3419,31.58818368
2020 Q3,1137,3144,109,4390,25.89977221
2020 Q4,1051,2973,135,4159,25.27049772
2021 Q1,984,3048,102,4134,23.80261248
2021 Q2,1100,3707,128,4935,22.28976697
2021 Q3,1172,3302,93,4567,25.66236041
2021 Q4,1121,3163,106,4390,25.53530752
2022 Q1,1008,2792,84,3884,25.95262616
2022 Q2,966,2813,123,3902,24.75653511
2022 Q3,1070,2935,132,4137,25.86415277
2022 Q4,1050,2737,127,3914,26.82677568
2023 Q1,1154,2960,174,4288,26.91231343
2023 Q2,1038,3025,160,4223,24.57968269
2023 Q3,1094,3240,187,4521,24.19818624
2023 Q4,1065,3127,150,4342,24.52786734
2024 Q1,1041,3202,165,4408,23.61615245
2024 Q2,1123,3274,194,4591,24.46090176
2024 Q3,1045,3462,236,4743,22.0324689
2024 Q4,1017,3371,214,4602,22.09908735
2025 Q1,951,4138,174,5263,18.06954209
2025 Q2,903,5579,234,6716,13.44550328
2025 Q3,939,5296,330,6565,14.30312262
2025 Q4,787,4851,280,5918,13.29841163
