Filing Quarter,Felony,Misdemeanor,Petty/Offense,Total,Percent of filed cases with a felony top charge
2017 Q1,1245.0,3546.0,213.0,5004.0,24.88009592
2017 Q2,1301.0,3408.0,217.0,4926.0,26.41088104
2017 Q3,1433.0,3466.0,166.0,5065.0,28.29220138
2017 Q4,1449.0,3469.0,167.0,5085.0,28.49557522
2018 Q1,1318.0,3376.0,155.0,4849.0,27.18086203
2018 Q2,1414.0,3473.0,171.0,5058.0,27.95571372
2018 Q3,1478.0,3541.0,228.0,5247.0,28.16847723
2018 Q4,1278.0,3650.0,220.0,5148.0,24.82517483
2019 Q1,1336.0,4043.0,212.0,5591.0,23.89554641
2019 Q2,1466.0,3735.0,194.0,5395.0,27.17330862
2019 Q3,1394.0,3696.0,194.0,5284.0,26.38152914
2019 Q4,1485.0,3794.0,181.0,5460.0,27.1978022
2020 Q1,1304.0,3535.0,132.0,4971.0,26.23214645
2020 Q2,1083.0,2244.0,80.0,3407.0,31.78749633
2020 Q3,1139.0,3124.0,109.0,4372.0,26.05215005
2020 Q4,1063.0,2950.0,135.0,4148.0,25.6268081
2021 Q1,984.0,3022.0,102.0,4108.0,23.95326193
2021 Q2,1106.0,3680.0,128.0,4914.0,22.50712251
2021 Q3,1172.0,3273.0,93.0,4538.0,25.82635522
2021 Q4,1121.0,3129.0,106.0,4356.0,25.73461892
2022 Q1,1007.0,2767.0,84.0,3858.0,26.10160705
2022 Q2,966.0,2787.0,122.0,3875.0,24.92903226
2022 Q3,1070.0,2906.0,132.0,4108.0,26.04673807
2022 Q4,1051.0,2699.0,127.0,3877.0,27.10858912
2023 Q1,1136.0,2554.0,171.0,3861.0,
