Filing Quarter,Felony,Misdemeanor,Petty Offense/Infraction
2017 Q1,1243,3545,214
2017 Q2,1300,3409,217
2017 Q3,1433,3467,166
2017 Q4,1449,3470,167
2018 Q1,1316,3376,155
2018 Q2,1412,3472,171
2018 Q3,1480,3542,228
2018 Q4,1276,3651,220
2019 Q1,1332,4044,212
2019 Q2,1465,3739,194
2019 Q3,1391,3703,194
2019 Q4,1481,3794,182
2020 Q1,1305,3555,132
2020 Q2,1080,2259,80
2020 Q3,1137,3144,109
2020 Q4,1051,2973,135
2021 Q1,984,3048,102
2021 Q2,1100,3707,128
2021 Q3,1172,3302,93
2021 Q4,1121,3163,106
2022 Q1,1008,2792,84
2022 Q2,966,2813,123
2022 Q3,1070,2935,132
2022 Q4,1050,2737,127
2023 Q1,1154,2960,174
2023 Q2,1038,3025,160
2023 Q3,1094,3240,187
2023 Q4,1065,3127,150
2024 Q1,1041,3202,165
2024 Q2,1123,3274,194
2024 Q3,1045,3462,236
2024 Q4,1017,3371,214
2025 Q1,951,4138,174
2025 Q2,903,5579,234
2025 Q3,939,5296,330
2025 Q4,787,4851,280
