Disposition Quarter,Not disposed within 30 days,Disposed within 30 days,Total Cases Disposed,Misdemeanors not resolved within 30 days,Misdemeanors resolved within 30 days
2017 Q1,700,40,740,94.59459459,5.405405405
2017 Q2,734,51,785,93.50318471,6.496815287
2017 Q3,708,44,752,94.14893617,5.85106383
2017 Q4,779,71,850,91.64705882,8.352941176
2018 Q1,919,78,997,92.17652959,7.823470411
2018 Q2,893,96,989,90.29322548,9.70677452
2018 Q3,833,57,890,93.59550562,6.404494382
2018 Q4,941,75,1016,92.61811024,7.381889764
2019 Q1,999,149,1148,87.02090592,12.97909408
2019 Q2,1335,165,1500,89,11
2019 Q3,1059,262,1321,80.1665405,19.8334595
2019 Q4,1074,118,1192,90.10067114,9.899328859
2020 Q1,1078,88,1166,92.45283019,7.547169811
2020 Q2,585,52,637,91.83673469,8.163265306
2020 Q3,1313,66,1379,95.21392313,4.786076867
2020 Q4,1031,135,1166,88.4219554,11.5780446
2021 Q1,1070,191,1261,84.85329104,15.14670896
2021 Q2,1245,178,1423,87.49121574,12.50878426
2021 Q3,1250,210,1460,85.61643836,14.38356164
2021 Q4,1033,277,1310,78.85496183,21.14503817
2022 Q1,1197,202,1399,85.56111508,14.43888492
2022 Q2,1316,229,1545,85.17799353,14.82200647
2022 Q3,1099,218,1317,83.44722855,16.55277145
2022 Q4,1111,259,1370,81.09489051,18.90510949
2023 Q1,1355,182,1537,88.15875081,11.84124919
2023 Q2,1265,243,1508,83.88594164,16.11405836
2023 Q3,1190,211,1401,84.93932905,15.06067095
2023 Q4,1187,301,1488,79.77150538,20.22849462
2024 Q1,1280,273,1553,82.42112041,17.57887959
2024 Q2,1320,286,1606,82.19178082,17.80821918
2024 Q3,1427,304,1731,82.43789717,17.56210283
2024 Q4,1015,247,1262,80.42789223,19.57210777
2025 Q1,980,248,1228,79.80456026,20.19543974
2025 Q2,1556,344,1900,81.89473684,18.10526316
2025 Q3,1276,304,1580,80.75949367,19.24050633
2025 Q4,1069,298,1367,78.20043892,21.79956108
