Disposition Quarter,Felony Charge Reduced to Misdemeanor,Felony Charge Not Reduced to Misdemeanor,Total Felony Charges Disposed,Percent of felony filings disposed as misdemeanors
2017 Q1,241,154,395,61.01265823
2017 Q2,258,188,446,57.84753363
2017 Q3,215,138,353,60.90651558
2017 Q4,202,182,384,52.60416667
2018 Q1,232,149,381,60.89238845
2018 Q2,305,163,468,65.17094017
2018 Q3,264,149,413,63.92251816
2018 Q4,299,161,460,65
2019 Q1,268,142,410,65.36585366
2019 Q2,295,157,452,65.26548673
2019 Q3,235,151,386,60.88082902
2019 Q4,217,141,358,60.61452514
2020 Q1,259,148,407,63.63636364
2020 Q2,75,78,153,49.01960784
2020 Q3,155,131,286,54.1958042
2020 Q4,149,111,260,57.30769231
2021 Q1,152,133,285,53.33333333
2021 Q2,163,138,301,54.15282392
2021 Q3,210,162,372,56.4516129
2021 Q4,155,112,267,58.05243446
2022 Q1,177,131,308,57.46753247
2022 Q2,178,151,329,54.10334347
2022 Q3,150,140,290,51.72413793
2022 Q4,166,162,328,50.6097561
2023 Q1,174,147,321,54.20560748
2023 Q2,153,160,313,48.88178914
2023 Q3,154,159,313,49.20127796
2023 Q4,150,169,319,47.02194357
2024 Q1,190,170,360,52.77777778
2024 Q2,180,162,342,52.63157895
2024 Q3,173,156,329,52.58358663
2024 Q4,90,99,189,47.61904762
2025 Q1,109,115,224,48.66071429
2025 Q2,120,178,298,40.26845638
2025 Q3,97,131,228,42.54385965
2025 Q4,101,120,221,45.70135747
