Disposition Quarter,Not disposed within 120 days,Disposed within 120 days,Total Cases Disposed,Felonies not resolved within 120 days,Felonies resolved within 120 days
2017 Q1,341,195,536,63.61940299,36.38059701
2017 Q2,358,226,584,61.30136986,38.69863014
2017 Q3,275,196,471,58.38641189,41.61358811
2017 Q4,296,188,484,61.15702479,38.84297521
2018 Q1,331,190,521,63.53166987,36.46833013
2018 Q2,360,283,643,55.98755832,44.01244168
2018 Q3,352,219,571,61.64623468,38.35376532
2018 Q4,359,245,604,59.43708609,40.56291391
2019 Q1,377,181,558,67.56272401,32.43727599
2019 Q2,394,231,625,63.04,36.96
2019 Q3,340,200,540,62.96296296,37.03703704
2019 Q4,308,178,486,63.3744856,36.6255144
2020 Q1,363,173,536,67.7238806,32.2761194
2020 Q2,189,54,243,77.77777778,22.22222222
2020 Q3,282,120,402,70.14925373,29.85074627
2020 Q4,254,131,385,65.97402597,34.02597403
2021 Q1,295,132,427,69.08665105,30.91334895
2021 Q2,329,135,464,70.90517241,29.09482759
2021 Q3,377,164,541,69.6857671,30.3142329
2021 Q4,273,132,405,67.40740741,32.59259259
2022 Q1,298,148,446,66.8161435,33.1838565
2022 Q2,339,166,505,67.12871287,32.87128713
2022 Q3,294,124,418,70.33492823,29.66507177
2022 Q4,313,160,473,66.17336152,33.82663848
2023 Q1,310,146,456,67.98245614,32.01754386
2023 Q2,282,151,433,65.12702079,34.87297921
2023 Q3,267,163,430,62.09302326,37.90697674
2023 Q4,310,154,464,66.81034483,33.18965517
2024 Q1,319,184,503,63.4194831,36.5805169
2024 Q2,269,201,470,57.23404255,42.76595745
2024 Q3,287,187,474,60.54852321,39.45147679
2024 Q4,160,117,277,57.76173285,42.23826715
2025 Q1,187,117,304,61.51315789,38.48684211
2025 Q2,291,146,437,66.59038902,33.40961098
2025 Q3,206,142,348,59.1954023,40.8045977
2025 Q4,182,119,301,60.46511628,39.53488372
