Disposition Quarter,Not disposed within 120 days,Disposed within 120 days,Total Cases Disposed,Felonies not resolved within 120 days,Felonies resolved within 120 days
2017 Q1,62.0,44.0,106.0,58.49056604,41.50943396
2017 Q2,63.0,40.0,103.0,61.16504854,38.83495146
2017 Q3,82.0,45.0,127.0,64.56692913,35.43307087
2017 Q4,90.0,49.0,139.0,64.74820144,35.25179856
2018 Q1,71.0,67.0,138.0,51.44927536,48.55072464
2018 Q2,66.0,71.0,137.0,48.17518248,51.82481752
2018 Q3,57.0,61.0,118.0,48.30508475,51.69491525
2018 Q4,97.0,59.0,156.0,62.17948718,37.82051282
2019 Q1,89.0,61.0,150.0,59.33333333,40.66666667
2019 Q2,73.0,51.0,124.0,58.87096774,41.12903226
2019 Q3,84.0,47.0,131.0,64.1221374,35.8778626
2019 Q4,82.0,45.0,127.0,64.56692913,35.43307087
2020 Q1,71.0,45.0,116.0,61.20689655,38.79310345
2020 Q2,53.0,29.0,82.0,64.63414634,35.36585366
2020 Q3,80.0,37.0,117.0,68.37606838,31.62393162
2020 Q4,51.0,48.0,99.0,51.51515152,48.48484848
2021 Q1,55.0,25.0,80.0,68.75,31.25
2021 Q2,66.0,40.0,106.0,62.26415094,37.73584906
2021 Q3,74.0,52.0,126.0,58.73015873,41.26984127
2021 Q4,73.0,42.0,115.0,63.47826087,36.52173913
2022 Q1,80.0,29.0,109.0,73.39449541,26.60550459
2022 Q2,68.0,33.0,101.0,67.32673267,32.67326733
2022 Q3,68.0,37.0,105.0,64.76190476,35.23809524
2022 Q4,41.0,29.0,70.0,58.57142857,41.42857143
2023 Q1,49.0,32.0,81.0,60.49382716,39.50617284
