Disposition Quarter,Not disposed within 30 days,Disposed within 30 days,Total Cases Disposed,Misdemeanors not resolved within 30 days,Misdemeanors resolved within 30 days
2017 Q1,555.0,117.0,672.0,82.58928571,17.41071429
2017 Q2,545.0,100.0,645.0,84.49612403,15.50387597
2017 Q3,471.0,92.0,563.0,83.6589698,16.3410302
2017 Q4,448.0,120.0,568.0,78.87323944,21.12676056
2018 Q1,469.0,160.0,629.0,74.56279809,25.43720191
2018 Q2,439.0,166.0,605.0,72.56198347,27.43801653
2018 Q3,400.0,125.0,525.0,76.19047619,23.80952381
2018 Q4,433.0,119.0,552.0,78.44202899,21.55797101
2019 Q1,467.0,116.0,583.0,80.10291595,19.89708405
2019 Q2,532.0,100.0,632.0,84.17721519,15.82278481
2019 Q3,455.0,111.0,566.0,80.38869258,19.61130742
2019 Q4,426.0,127.0,553.0,77.03435805,22.96564195
2020 Q1,354.0,120.0,474.0,74.6835443,25.3164557
2020 Q2,229.0,21.0,250.0,91.6,8.4
2020 Q3,400.0,73.0,473.0,84.56659619,15.43340381
2020 Q4,323.0,68.0,391.0,82.60869565,17.39130435
2021 Q1,351.0,38.0,389.0,90.23136247,9.768637532
2021 Q2,445.0,87.0,532.0,83.64661654,16.35338346
2021 Q3,338.0,108.0,446.0,75.78475336,24.21524664
2021 Q4,390.0,106.0,496.0,78.62903226,21.37096774
2022 Q1,434.0,118.0,552.0,78.62318841,21.37681159
2022 Q2,368.0,102.0,470.0,78.29787234,21.70212766
2022 Q3,391.0,67.0,458.0,85.37117904,14.62882096
2022 Q4,360.0,46.0,406.0,88.66995074,11.33004926
2023 Q1,365.0,80.0,445.0,82.02247191,17.97752809
