Quarter,Felony Filed,Misdemeanor Filed,Petty Offense/Infraction Filed,Total Felony Referrals,Percent of felony referrals charged as misdemeanors,Felony Charge Reduced to Misdemeanor,Felony Charge Not Reduced to Misdemeanor,Total Felony Charges Disposed,Percent of felony filings disposed as misdemeanors
2017 Q1,234.0,11.0,1.0,246.0,4.471544715,41.0,37.0,78.0,52.56410256
2017 Q2,240.0,7.0,0.0,247.0,2.834008097,27.0,24.0,51.0,52.94117647
2017 Q3,304.0,12.0,0.0,316.0,3.797468354,49.0,64.0,113.0,43.36283186
2017 Q4,261.0,12.0,0.0,273.0,4.395604396,49.0,52.0,101.0,48.51485149
2018 Q1,234.0,8.0,0.0,242.0,3.305785124,34.0,29.0,63.0,53.96825397
2018 Q2,228.0,10.0,0.0,238.0,4.201680672,66.0,35.0,101.0,65.34653465
2018 Q3,186.0,6.0,0.0,192.0,3.125,21.0,29.0,50.0,42.0
2018 Q4,224.0,7.0,0.0,231.0,3.03030303,23.0,18.0,41.0,56.09756098
2019 Q1,241.0,11.0,1.0,253.0,4.347826087,18.0,19.0,37.0,48.64864865
2019 Q2,202.0,5.0,1.0,208.0,2.403846154,74.0,57.0,131.0,56.48854962
2019 Q3,247.0,4.0,0.0,251.0,1.593625498,39.0,26.0,65.0,60.0
2019 Q4,181.0,6.0,0.0,187.0,3.20855615,27.0,28.0,55.0,49.09090909
2020 Q1,164.0,1.0,0.0,165.0,0.606060606,56.0,57.0,113.0,49.55752212
2020 Q2,180.0,5.0,0.0,185.0,2.702702703,47.0,60.0,107.0,43.92523364
2020 Q3,162.0,3.0,0.0,165.0,1.818181818,46.0,29.0,75.0,61.33333333
2020 Q4,139.0,12.0,0.0,151.0,7.947019868,30.0,18.0,48.0,62.5
2021 Q1,137.0,8.0,1.0,146.0,5.479452055,34.0,12.0,46.0,73.91304348
2021 Q2,208.0,6.0,0.0,214.0,2.803738318,52.0,24.0,76.0,68.42105263
2021 Q3,195.0,10.0,0.0,205.0,4.87804878,69.0,16.0,85.0,81.17647059
2021 Q4,142.0,3.0,0.0,145.0,2.068965517,76.0,39.0,115.0,66.08695652
2022 Q1,173.0,16.0,0.0,189.0,8.465608466,72.0,31.0,103.0,69.90291262
2022 Q2,163.0,7.0,0.0,170.0,4.117647059,62.0,21.0,83.0,74.69879518
2022 Q3,101.0,12.0,0.0,113.0,10.61946903,61.0,27.0,88.0,69.31818182
2022 Q4,134.0,10.0,1.0,145.0,6.896551724,38.0,27.0,65.0,58.46153846
2023 Q1,147.0,15.0,0.0,162.0,9.259259259,15.0,8.0,23.0,65.2173913
