Quarter,Felony Filed,Misdemeanor Filed,Petty Offense/Infraction Filed,Total Felony Referrals,Percent of felony referrals charged as misdemeanors,Felony Charge Reduced to Misdemeanor,Felony Charge Not Reduced to Misdemeanor,Total Felony Charges Disposed,Percent of felony filings disposed as misdemeanors
2020 Q1,163,1,0,164,0.609756098,61,58,119,51.2605042
2020 Q2,179,5,0,184,2.717391304,47,58,105,44.76190476
2020 Q3,161,3,0,164,1.829268293,46,29,75,61.33333333
2020 Q4,139,12,0,151,7.947019868,29,19,48,60.41666667
2021 Q1,137,8,1,146,5.479452055,36,12,48,75
2021 Q2,208,6,0,214,2.803738318,52,23,75,69.33333333
2021 Q3,194,10,0,204,4.901960784,68,16,84,80.95238095
2021 Q4,142,3,0,145,2.068965517,75,39,114,65.78947368
2022 Q1,172,16,0,188,8.510638298,72,32,104,69.23076923
2022 Q2,163,7,0,170,4.117647059,62,20,82,75.6097561
2022 Q3,102,12,0,114,10.52631579,64,26,90,71.11111111
2022 Q4,134,10,1,145,6.896551724,45,32,77,58.44155844
2023 Q1,150,15,0,165,9.090909091,29,26,55,52.72727273
2023 Q2,155,19,0,174,10.91954023,16,27,43,37.20930233
2023 Q3,149,14,1,165,8.484848485,41,26,67,61.19402985
2023 Q4,157,8,0,165,4.848484848,32,46,78,41.02564103
2024 Q1,156,11,0,167,6.586826347,23,24,47,48.93617021
2024 Q2,152,8,1,161,4.968944099,29,32,61,47.54098361
2024 Q3,136,18,1,155,11.61290323,35,25,60,58.33333333
2024 Q4,119,14,2,137,10.2189781,22,10,32,68.75
2025 Q1,111,14,0,126,11.11111111,25,24,49,51.02040816
2025 Q2,138,16,0,154,10.38961039,32,32,64,50
2025 Q3,131,25,0,156,16.02564103,32,32,64,50
2025 Q4,120,11,0,131,8.396946565,30,20,50,60
