Filing Quarter,At least 1 prior violent conviction,No prior violent convictions,Total,Percent of defendants with prior violent conviction,Percent of defendants with no prior violent convictions
2017 Q1,7,85,92,7.608695652,92.39130435
2017 Q2,6,108,114,5.263157895,94.73684211
2017 Q3,12,110,122,9.836065574,90.16393443
2017 Q4,10,97,107,9.345794393,90.65420561
2018 Q1,12,81,93,12.90322581,87.09677419
2018 Q2,14,97,111,12.61261261,87.38738739
2018 Q3,9,98,107,8.411214953,91.58878505
2018 Q4,11,100,111,9.90990991,90.09009009
2019 Q1,6,88,94,6.382978723,93.61702128
2019 Q2,8,86,94,8.510638298,91.4893617
2019 Q3,12,92,104,11.53846154,88.46153846
2019 Q4,7,98,105,6.666666667,93.33333333
2020 Q1,19,112,131,14.50381679,85.49618321
2020 Q2,16,102,118,13.55932203,86.44067797
2020 Q3,18,100,118,15.25423729,84.74576271
2020 Q4,20,96,116,17.24137931,82.75862069
2021 Q1,14,99,113,12.38938053,87.61061947
2021 Q2,17,98,115,14.7826087,85.2173913
2021 Q3,11,97,108,10.18518519,89.81481481
2021 Q4,11,89,100,11,89
2022 Q1,11,79,90,12.22222222,87.77777778
2022 Q2,18,81,99,18.18181818,81.81818182
2022 Q3,18,101,119,15.12605042,84.87394958
2022 Q4,12,113,125,9.6,90.4
2023 Q1,11,105,116,9.482758621,90.51724138
2023 Q2,14,138,152,9.210526316,90.78947368
2023 Q3,23,105,128,17.96875,82.03125
2023 Q4,14,109,123,11.38211382,88.61788618
2024 Q1,20,83,103,19.41747573,80.58252427
2024 Q2,16,107,123,13.00813008,86.99186992
2024 Q3,16,133,149,10.73825503,89.26174497
2024 Q4,11,99,110,10,90
2025 Q1,21,110,131,16.03053435,83.96946565
2025 Q2,23,115,138,16.66666667,83.33333333
2025 Q3,16,112,128,12.5,87.5
2025 Q4,16,113,129,12.40310078,87.59689922
