Disposition Quarter,At least 1 prior felony conviction,Prior misdemeanor convictions only,No prior convictions,Total
2017 Q1,118,85,69,272
2017 Q2,158,93,78,329
2017 Q3,122,79,72,273
2017 Q4,141,89,69,299
2018 Q1,124,99,77,300
2018 Q2,146,65,68,279
2018 Q3,136,78,61,275
2018 Q4,166,105,66,337
2019 Q1,106,79,56,241
2019 Q2,168,87,65,320
2019 Q3,161,95,61,317
2019 Q4,165,93,55,313
2020 Q1,180,90,51,321
2020 Q2,101,40,26,167
2020 Q3,120,57,49,226
2020 Q4,117,44,38,199
2021 Q1,122,72,44,238
2021 Q2,150,67,59,276
2021 Q3,122,47,39,208
2021 Q4,127,60,41,228
2022 Q1,126,69,37,232
2022 Q2,165,71,59,295
2022 Q3,118,50,31,199
2022 Q4,131,51,28,210
2023 Q1,132,56,45,233
2023 Q2,122,49,50,221
2023 Q3,129,56,34,219
2023 Q4,126,42,38,206
2024 Q1,123,65,48,236
2024 Q2,130,58,42,230
2024 Q3,150,59,52,261
2024 Q4,67,44,20,131
2025 Q1,95,25,27,147
2025 Q2,147,54,42,243
2025 Q3,108,49,44,201
2025 Q4,109,45,37,191
