Disposition Quarter,Average number of hearings per case
2017 Q1,9.5949
2017 Q2,9.2188
2017 Q3,6.7
2017 Q4,7.6053
2018 Q1,7.2857
2018 Q2,9.2857
2018 Q3,7.9333
2018 Q4,7.3529
2019 Q1,8.2319
2019 Q2,8.9175
2019 Q3,9.42
2019 Q4,8.0588
2020 Q1,6.7708
2020 Q2,8.1081
2020 Q3,8.902
2020 Q4,8.1455
2021 Q1,9.1905
2021 Q2,7.9434
2021 Q3,8.6078
2021 Q4,7.9091
2022 Q1,9
2022 Q2,8.7231
2022 Q3,8.7273
2022 Q4,10.5814
2023 Q1,8.2391
2023 Q2,9.2364
2023 Q3,7.6739
2023 Q4,7.7875
2024 Q1,8.0533
2024 Q2,9.1613
2024 Q3,9.5493
2024 Q4,8.5556
2025 Q1,10.4773
