Disposition Quarter,Average number of days to felony resolution,Median number of days to felony resolution
2017 Q1,185.5696,157
2017 Q2,183.8438,150.5
2017 Q3,132.3924,106
2017 Q4,150.9733,132
2018 Q1,166.7818,120
2018 Q2,185.5122,170
2018 Q3,163.4333,126.5
2018 Q4,180.8485,133
2019 Q1,176.4,136
2019 Q2,191.9688,125
2019 Q3,180.1556,156
2019 Q4,193.9697,129.5
2020 Q1,148.4375,120.5
2020 Q2,215.75,144
2020 Q3,249.3725,184
2020 Q4,204.9455,140
2021 Q1,232.1429,190
2021 Q2,195.3585,149
2021 Q3,197.549,168
2021 Q4,187.8519,147.5
2022 Q1,239.2817,197
2022 Q2,203.7705,126
2022 Q3,250,190
2022 Q4,247.0714,199.5
2023 Q1,221.6444,165
2023 Q2,210.9804,152
2023 Q3,209.2174,146.5
2023 Q4,179.284,129
2024 Q1,191.4667,136
2024 Q2,229.377,180
2024 Q3,259.7727,175.5
2024 Q4,207.6905,140.5
2025 Q1,310.4318,270.5
2025 Q2,230.88,191.5
