Disposition Quarter,Not disposed within 30 days,Disposed within 30 days,Total Cases Disposed,Misdemeanors not resolved within 30 days,Misdemeanors resolved within 30 days
2017 Q1,131,49,180,72.77777778,27.22222222
2017 Q2,123,45,168,73.21428571,26.78571429
2017 Q3,98,19,117,83.76068376,16.23931624
2017 Q4,81,25,106,76.41509434,23.58490566
2018 Q1,120,33,153,78.43137255,21.56862745
2018 Q2,101,22,123,82.11382114,17.88617886
2018 Q3,96,26,122,78.68852459,21.31147541
2018 Q4,63,18,81,77.77777778,22.22222222
2019 Q1,77,19,96,80.20833333,19.79166667
2019 Q2,96,13,109,88.0733945,11.9266055
2019 Q3,67,21,88,76.13636364,23.86363636
2019 Q4,99,20,119,83.19327731,16.80672269
2020 Q1,83,14,97,85.56701031,14.43298969
2020 Q2,70,3,73,95.89041096,4.109589041
2020 Q3,55,7,62,88.70967742,11.29032258
2020 Q4,83,6,89,93.25842697,6.741573034
2021 Q1,106,9,115,92.17391304,7.826086957
2021 Q2,73,13,86,84.88372093,15.11627907
2021 Q3,73,11,84,86.9047619,13.0952381
2021 Q4,67,10,77,87.01298701,12.98701299
2022 Q1,56,11,67,83.58208955,16.41791045
2022 Q2,80,8,88,90.90909091,9.090909091
2022 Q3,72,6,78,92.30769231,7.692307692
2022 Q4,99,6,105,94.28571429,5.714285714
2023 Q1,75,34,109,68.80733945,31.19266055
2023 Q2,165,43,208,79.32692308,20.67307692
2023 Q3,200,55,255,78.43137255,21.56862745
2023 Q4,252,51,303,83.16831683,16.83168317
2024 Q1,283,50,333,84.98498498,15.01501502
2024 Q2,251,32,283,88.69257951,11.30742049
2024 Q3,213,31,244,87.29508197,12.70491803
2024 Q4,150,21,171,87.71929825,12.28070175
2025 Q1,163,15,178,91.57303371,8.426966292
2025 Q2,236,25,261,90.42145594,9.578544061
