Disposition Quarter,Not disposed within 120 days,Disposed within 120 days,Total Cases Disposed,Felonies not resolved within 120 days,Felonies resolved within 120 days
2017 Q1,692,518,1210,57.19008264,42.80991736
2017 Q2,691,489,1180,58.55932203,41.44067797
2017 Q3,643,490,1133,56.75198588,43.24801412
2017 Q4,706,533,1239,56.98143664,43.01856336
2018 Q1,675,511,1186,56.91399663,43.08600337
2018 Q2,785,562,1347,58.27765405,41.72234595
2018 Q3,691,527,1218,56.73234811,43.26765189
2018 Q4,737,497,1234,59.72447326,40.27552674
2019 Q1,838,457,1295,64.71042471,35.28957529
2019 Q2,784,521,1305,60.07662835,39.92337165
2019 Q3,729,468,1197,60.90225564,39.09774436
2019 Q4,756,491,1247,60.6255012,39.3744988
2020 Q1,757,403,1160,65.25862069,34.74137931
2020 Q2,453,86,539,84.0445269,15.9554731
2020 Q3,718,154,872,82.33944954,17.66055046
2020 Q4,645,193,838,76.96897375,23.03102625
2021 Q1,752,165,917,82.00654308,17.99345692
2021 Q2,790,169,959,82.37747654,17.62252346
2021 Q3,843,212,1055,79.90521327,20.09478673
2021 Q4,801,240,1041,76.94524496,23.05475504
2022 Q1,816,223,1039,78.53705486,21.46294514
2022 Q2,906,211,1117,81.11011638,18.88988362
2022 Q3,743,236,979,75.89376915,24.10623085
2022 Q4,726,214,940,77.23404255,22.76595745
2023 Q1,792,283,1075,73.6744186,26.3255814
2023 Q2,766,313,1079,70.99165894,29.00834106
2023 Q3,728,248,976,74.59016393,25.40983607
2023 Q4,639,260,899,71.07897664,28.92102336
2024 Q1,753,255,1008,74.70238095,25.29761905
2024 Q2,707,300,1007,70.20854022,29.79145978
2024 Q3,720,284,1004,71.71314741,28.28685259
2024 Q4,459,183,642,71.4953271,28.5046729
2025 Q1,451,157,608,74.17763158,25.82236842
2025 Q2,736,241,977,75.33265097,24.66734903
2025 Q3,658,235,893,73.68421053,26.31578947
2025 Q4,564,220,784,71.93877551,28.06122449
