Disposition Quarter,Average number of days from filing to dismissal,Median number of days from filing to dismissal
2017 Q1,255.4038,207.5
2017 Q2,224.3,197.5
2017 Q3,252.3485,246
2017 Q4,206.1842,181.5
2018 Q1,219.537,215
2018 Q2,262.8462,233
2018 Q3,256.5616,225
2018 Q4,280.337,234
2019 Q1,280.9714,239.5
2019 Q2,288.9425,257
2019 Q3,285.4658,258
2019 Q4,277.2135,239
2020 Q1,299.8627,274
2020 Q2,337.9302,285
2020 Q3,364.8854,335.5
2020 Q4,354.64,315.5
2021 Q1,317.2778,305
2021 Q2,343.9909,309
2021 Q3,397.4495,385
2021 Q4,334.5327,288
2022 Q1,373.6058,315.5
2022 Q2,374.7527,297
2022 Q3,374.2222,326
2022 Q4,386.5679,365
2023 Q1,337.1351,265
2023 Q2,331.301,285
2023 Q3,369.4762,326
2023 Q4,313.5,273
2024 Q1,337.7264,299
2024 Q2,351.0826,309
2024 Q3,304.0103,260
2024 Q4,297.4063,226.5
2025 Q1,321.8553,309
2025 Q2,345.3008,284
2025 Q3,361.3871,294
2025 Q4,383.3226,343.5
