Disposition Quarter,Average number of hearings per case
2017 Q1,6.3786
2017 Q2,6.2483
2017 Q3,6.3107
2017 Q4,6.3387
2018 Q1,6.1022
2018 Q2,6.3218
2018 Q3,6.2782
2018 Q4,6.6019
2019 Q1,6.9049
2019 Q2,6.7625
2019 Q3,6.8753
2019 Q4,6.7255
2020 Q1,6.9813
2020 Q2,8.1757
2020 Q3,8.3868
2020 Q4,8.311
2021 Q1,8.5128
2021 Q2,9.5148
2021 Q3,9
2021 Q4,8.6825
2022 Q1,8.8742
2022 Q2,9.0854
2022 Q3,8.8076
2022 Q4,8.852
2023 Q1,8.6768
2023 Q2,8.3903
2023 Q3,8.6866
2023 Q4,8.3458
2024 Q1,8.4059
2024 Q2,8.0038
2024 Q3,8.5692
2024 Q4,8.8401
2025 Q1,9.3203
2025 Q2,9.3483
2025 Q3,8.6106
2025 Q4,8.3529
