Disposition Quarter,Average number of days to felony resolution,Median number of days to felony resolution
2017 Q1,188.9826,143
2017 Q2,190.4627,146
2017 Q3,182.5057,141
2017 Q4,181.8079,146
2018 Q1,180.1239,145
2018 Q2,192.1188,152
2018 Q3,191.3695,141
2018 Q4,205.4984,152.5
2019 Q1,215.3954,171
2019 Q2,208.9755,161
2019 Q3,217.0418,164
2019 Q4,208.3488,160
2020 Q1,229.0362,181
2020 Q2,288.0482,266
2020 Q3,296.7122,266.5
2020 Q4,282.247,261
2021 Q1,300.3402,267
2021 Q2,324.7195,292
2021 Q3,327.7555,288
2021 Q4,323.5908,265
2022 Q1,324.1203,267
2022 Q2,332.8236,276
2022 Q3,316.1471,259
2022 Q4,324.9309,268.5
2023 Q1,295.2958,233
2023 Q2,277.5422,209
2023 Q3,296.3689,225
2023 Q4,280.1046,218
2024 Q1,293.0347,245
2024 Q2,276.1082,210
2024 Q3,273.9871,221.5
2024 Q4,283.31,224
2025 Q1,302.4211,248
2025 Q2,298.3531,242
2025 Q3,287.8354,232
2025 Q4,270.8151,224.5
