Disposition Quarter,Felony Charge Reduced to Misdemeanor,Felony Charge Not Reduced to Misdemeanor,Total Felony Charges Disposed,Percent of felony filings disposed as misdemeanors
2017 Q1,528,475,1003,52.64207378
2017 Q2,529,460,989,53.48837209
2017 Q3,518,434,952,54.41176471
2017 Q4,553,469,1022,54.10958904
2018 Q1,529,471,1000,52.9
2018 Q2,596,519,1115,53.4529148
2018 Q3,541,486,1027,52.67770204
2018 Q4,567,461,1028,55.15564202
2019 Q1,562,494,1056,53.21969697
2019 Q2,594,488,1082,54.89833641
2019 Q3,552,429,981,56.26911315
2019 Q4,553,467,1020,54.21568627
2020 Q1,499,399,898,55.56792873
2020 Q2,189,201,390,48.46153846
2020 Q3,330,305,635,51.96850394
2020 Q4,347,311,658,52.73556231
2021 Q1,341,348,689,49.49201742
2021 Q2,391,341,732,53.41530055
2021 Q3,443,359,802,55.23690773
2021 Q4,424,389,813,52.15252153
2022 Q1,425,379,804,52.86069652
2022 Q2,406,454,860,47.20930233
2022 Q3,357,393,750,47.6
2022 Q4,322,424,746,43.16353887
2023 Q1,378,473,851,44.41833137
2023 Q2,387,498,885,43.72881356
2023 Q3,342,437,779,43.90243902
2023 Q4,340,399,739,46.00811908
2024 Q1,356,433,789,45.12040558
2024 Q2,341,445,786,43.38422392
2024 Q3,339,460,799,42.42803504
2024 Q4,209,279,488,42.82786885
2025 Q1,212,254,466,45.49356223
2025 Q2,327,394,721,45.35367545
2025 Q3,290,406,696,41.66666667
2025 Q4,273,355,628,43.47133758
