Disposition Quarter,Not disposed within 30 days,Disposed within 30 days,Total Cases Disposed,Misdemeanors not resolved within 30 days,Misdemeanors resolved within 30 days
2017 Q1,2623,362,2985,87.87269682,12.12730318
2017 Q2,2547,434,2981,85.44112714,14.55887286
2017 Q3,2477,382,2859,86.63868485,13.36131515
2017 Q4,2562,444,3006,85.22954092,14.77045908
2018 Q1,2717,458,3175,85.57480315,14.42519685
2018 Q2,2481,494,2975,83.39495798,16.60504202
2018 Q3,2427,424,2851,85.12802525,14.87197475
2018 Q4,2545,520,3065,83.03425775,16.96574225
2019 Q1,2761,564,3325,83.03759398,16.96240602
2019 Q2,2588,493,3081,83.99870172,16.00129828
2019 Q3,2571,523,3094,83.09631545,16.90368455
2019 Q4,2523,509,3032,83.21240106,16.78759894
2020 Q1,2338,436,2774,84.28262437,15.71737563
2020 Q2,450,29,479,93.94572025,6.054279749
2020 Q3,1519,233,1752,86.70091324,13.29908676
2020 Q4,1764,287,2051,86.00682594,13.99317406
2021 Q1,1936,239,2175,89.01149425,10.98850575
2021 Q2,2122,343,2465,86.0851927,13.9148073
2021 Q3,2695,347,3042,88.5930309,11.4069691
2021 Q4,2531,394,2925,86.52991453,13.47008547
2022 Q1,2595,347,2942,88.20530252,11.79469748
2022 Q2,2674,465,3139,85.18636508,14.81363492
2022 Q3,2443,433,2876,84.94436718,15.05563282
2022 Q4,2211,424,2635,83.90891841,16.09108159
2023 Q1,2412,451,2863,84.24729305,15.75270695
2023 Q2,2240,458,2698,83.02446256,16.97553744
2023 Q3,2177,406,2583,84.28184282,15.71815718
2023 Q4,2248,409,2657,84.60669928,15.39330072
2024 Q1,2330,439,2769,84.14590105,15.85409895
2024 Q2,2438,454,2892,84.30152144,15.69847856
2024 Q3,2450,440,2890,84.77508651,15.22491349
2024 Q4,1544,320,1864,82.83261803,17.16738197
2025 Q1,1587,287,1874,84.68516542,15.31483458
2025 Q2,2580,617,3197,80.70065687,19.29934313
2025 Q3,2739,557,3296,83.10072816,16.89927184
2025 Q4,2716,531,3247,83.64644287,16.35355713
