Disposition Quarter,NoPretrialDetention,PretrialDetention,Total Cases,Percent of defendants detained pretrial
2017 Q1,975.0,341.0,1316.0,25.9118541
2017 Q2,999.0,430.0,1429.0,30.09097271
2017 Q3,863.0,388.0,1251.0,31.01518785
2017 Q4,976.0,397.0,1373.0,28.91478514
2018 Q1,1051.0,345.0,1396.0,24.71346705
2018 Q2,1052.0,461.0,1513.0,30.46926636
2018 Q3,1128.0,375.0,1503.0,24.9500998
2018 Q4,962.0,349.0,1311.0,26.62090008
2019 Q1,1197.0,354.0,1551.0,22.82398453
2019 Q2,1066.0,371.0,1437.0,25.81767571
2019 Q3,1050.0,355.0,1405.0,25.26690391
2019 Q4,938.0,369.0,1307.0,28.23259373
2020 Q1,820.0,330.0,1150.0,28.69565217
2020 Q2,509.0,202.0,711.0,28.41068917
2020 Q3,857.0,314.0,1171.0,26.8146883
2020 Q4,854.0,352.0,1206.0,29.18739635
2021 Q1,796.0,339.0,1135.0,29.86784141
2021 Q2,828.0,327.0,1155.0,28.31168831
2021 Q3,849.0,390.0,1239.0,31.47699758
2021 Q4,752.0,336.0,1088.0,30.88235294
2022 Q1,769.0,409.0,1178.0,34.71986418
2022 Q2,747.0,344.0,1091.0,31.53070577
2022 Q3,736.0,353.0,1089.0,32.41505969
2022 Q4,680.0,352.0,1032.0,34.10852713
2023 Q1,670.0,275.0,945.0,29.1005291
