Disposition Quarter,Drugs,DUI,Other,Person,Property,Sex Offense,Traffic,Weapons,Total,"Percent involving person, sex, or weapons offenses",Percent involving DUI,Percent involving other offenses
2017 Q1,59,71,68,63,105,4,30,5,405,17.77777778,17.5308642,64.69135802
2017 Q2,92,78,77,94,127,4,32,3,507,19.92110454,15.38461538,64.69428008
2017 Q3,70,55,71,78,107,3,23,6,413,21.0653753,13.31719128,65.61743341
2017 Q4,74,82,89,76,123,7,29,7,487,18.48049281,16.83778234,64.68172485
2018 Q1,73,74,59,81,96,4,28,3,418,21.05263158,17.70334928,61.24401914
2018 Q2,102,85,82,82,121,6,36,5,519,17.91907514,16.37764933,65.70327553
2018 Q3,95,75,73,55,118,3,27,6,452,14.15929204,16.59292035,69.24778761
2018 Q4,69,58,67,65,96,9,26,8,398,20.60301508,14.57286432,64.8241206
2019 Q1,54,97,73,73,127,5,24,1,454,17.40088106,21.36563877,61.23348018
2019 Q2,59,99,78,72,125,3,27,5,468,17.09401709,21.15384615,61.75213675
2019 Q3,58,73,54,72,76,8,20,6,367,23.43324251,19.89100817,56.67574932
2019 Q4,59,80,71,75,87,4,16,9,401,21.94513716,19.95012469,58.10473815
2020 Q1,65,72,64,69,68,2,14,7,361,21.6066482,19.94459834,58.44875346
2020 Q2,33,58,33,57,56,2,10,1,250,24,23.2,52.8
2020 Q3,48,88,66,64,85,2,16,8,377,19.62864721,23.34217507,57.02917772
2020 Q4,37,86,85,67,96,10,17,13,411,21.89781022,20.92457421,57.17761557
2021 Q1,42,74,66,78,84,5,23,4,376,23.13829787,19.68085106,57.18085106
2021 Q2,67,63,72,65,93,3,16,7,386,19.43005181,16.32124352,64.24870466
2021 Q3,77,69,88,63,89,1,15,8,410,17.56097561,16.82926829,65.6097561
2021 Q4,63,70,55,54,64,3,9,6,324,19.44444444,21.60493827,58.95061728
2022 Q1,65,63,67,70,83,3,8,6,365,21.64383562,17.26027397,61.09589041
2022 Q2,47,63,56,52,95,1,8,5,327,17.73700306,19.26605505,62.9969419
2022 Q3,57,79,55,52,70,5,20,6,344,18.31395349,22.96511628,58.72093023
2022 Q4,34,45,62,67,73,3,7,2,293,24.57337884,15.35836177,60.06825939
2023 Q1,57,62,55,56,76,5,5,5,321,20.56074766,19.31464174,60.12461059
2023 Q2,66,58,52,85,80,11,8,3,363,27.27272727,15.97796143,56.74931129
2023 Q3,72,43,39,62,82,8,8,7,321,23.98753894,13.39563863,62.61682243
2023 Q4,47,58,31,70,80,2,7,4,299,25.4180602,19.39799331,55.18394649
2024 Q1,52,45,41,71,68,5,15,3,300,26.33333333,15,58.66666667
2024 Q2,50,48,59,53,57,5,10,2,284,21.12676056,16.90140845,61.97183099
2024 Q3,49,53,54,50,70,7,15,4,302,20.1986755,17.54966887,62.25165563
2024 Q4,39,42,31,39,51,0,5,2,209,19.61722488,20.09569378,60.28708134
2025 Q1,30,37,29,33,32,3,15,1,180,20.55555556,20.55555556,58.88888889
2025 Q2,68,59,47,50,70,4,16,2,316,17.72151899,18.67088608,63.60759494
2025 Q3,60,68,45,57,48,6,12,6,302,22.84768212,22.51655629,54.63576159
2025 Q4,48,61,32,53,49,2,15,2,262,21.75572519,23.28244275,54.96183206
