Disposition Quarter,Deferred,Probation,Community Corrections,Prison
2017 Q1,106,126,78,77
2017 Q2,117,136,94,95
2017 Q3,80,152,84,97
2017 Q4,92,147,97,99
2018 Q1,96,166,50,104
2018 Q2,112,183,114,97
2018 Q3,99,172,85,105
2018 Q4,84,173,64,115
2019 Q1,92,185,78,102
2019 Q2,96,170,83,106
2019 Q3,102,191,64,78
2019 Q4,107,179,66,101
2020 Q1,98,156,71,87
2020 Q2,56,107,33,61
2020 Q3,89,146,57,66
2020 Q4,84,118,54,74
2021 Q1,86,106,48,43
2021 Q2,88,106,61,70
2021 Q3,63,115,54,94
2021 Q4,84,91,41,63
2022 Q1,78,85,69,74
2022 Q2,71,87,41,89
2022 Q3,82,63,44,75
2022 Q4,87,91,42,65
2023 Q1,93,82,48,72
2023 Q2,78,91,53,82
2023 Q3,73,93,42,81
2023 Q4,79,71,37,54
2024 Q1,76,76,48,53
2024 Q2,100,80,35,55
2024 Q3,91,76,41,64
2024 Q4,53,54,24,41
2025 Q1,43,57,31,32
2025 Q2,84,97,60,66
2025 Q3,78,101,58,53
2025 Q4,87,103,33,31
