Filing Quarter,Felonies filed per prosecutor,Felonies resolved per prosecutor
2017 Q1,22.6364,20.8
2017 Q2,18.2727,21.1111
2017 Q3,17,17.5
2017 Q4,13.3846,16.7273
2018 Q1,15.7778,17.4
2018 Q2,15.1429,16.3636
2018 Q3,16.7,16.75
2018 Q4,17,17.1
2019 Q1,13.7692,17.75
2019 Q2,17.1818,17.4545
2019 Q3,14.2,17.4545
2019 Q4,16.1818,16.4545
2020 Q1,16.2143,21.375
2020 Q2,14.1765,14.2222
2020 Q3,15.2857,15.5833
2020 Q4,14.4545,12.1538
2021 Q1,17.1818,18.6667
2021 Q2,17.9,20
2021 Q3,23.8889,16.1818
2021 Q4,22.5,21.4444
2022 Q1,26.8333,25
2022 Q2,18.6667,23.875
2022 Q3,26.2857,32.3333
2022 Q4,19.8571,30.6
2023 Q1,20.8571,24.5714
2023 Q2,17,24.5714
2023 Q3,19.7778,20
2023 Q4,16,19
2024 Q1,16.125,20.1429
2024 Q2,15.2,19
2024 Q3,18.2,19.75
2024 Q4,20.75,22
2025 Q1,16,14.5
2025 Q2,20.375,17.625
2025 Q3,20.1111,20.125
2025 Q4,17.75,16.875
