Quarter,Felony Filed,Misdemeanor Filed,Petty Offense/Infraction Filed,Total Felony Referrals,Percent of felony referrals charged as misdemeanors,Felony Charge Reduced to Misdemeanor,Felony Charge Not Reduced to Misdemeanor,Total Felony Charges Disposed,Percent of felony filings disposed as misdemeanors
2017 Q1,127.0,8.0,0.0,135.0,5.925925926,21.0,51.0,72.0,29.16666667
2017 Q2,149.0,13.0,0.0,162.0,8.024691358,23.0,45.0,68.0,33.82352941
2017 Q3,132.0,15.0,0.0,147.0,10.20408163,36.0,52.0,88.0,40.90909091
2017 Q4,150.0,5.0,1.0,156.0,3.205128205,30.0,62.0,92.0,32.60869565
2018 Q1,154.0,11.0,0.0,165.0,6.666666667,29.0,62.0,91.0,31.86813187
2018 Q2,194.0,13.0,2.0,209.0,6.220095694,34.0,60.0,94.0,36.17021277
2018 Q3,178.0,12.0,1.0,191.0,6.282722513,32.0,44.0,76.0,42.10526316
2018 Q4,154.0,23.0,0.0,177.0,12.99435028,30.0,81.0,111.0,27.02702703
2019 Q1,163.0,5.0,0.0,168.0,2.976190476,27.0,69.0,96.0,28.125
2019 Q2,137.0,15.0,0.0,152.0,9.868421053,31.0,61.0,92.0,33.69565217
2019 Q3,152.0,8.0,1.0,161.0,4.968944099,28.0,57.0,85.0,32.94117647
2019 Q4,117.0,16.0,0.0,133.0,12.03007519,27.0,63.0,90.0,30.0
2020 Q1,146.0,11.0,0.0,157.0,7.006369427,34.0,51.0,85.0,40.0
2020 Q2,109.0,34.0,0.0,143.0,23.77622378,27.0,35.0,62.0,43.5483871
2020 Q3,123.0,34.0,2.0,159.0,21.3836478,27.0,51.0,78.0,34.61538462
2020 Q4,129.0,23.0,3.0,155.0,14.83870968,28.0,26.0,54.0,51.85185185
2021 Q1,125.0,23.0,0.0,148.0,15.54054054,23.0,30.0,53.0,43.39622642
2021 Q2,140.0,12.0,0.0,152.0,7.894736842,32.0,39.0,71.0,45.07042254
2021 Q3,136.0,24.0,3.0,163.0,14.72392638,31.0,59.0,90.0,34.44444444
2021 Q4,120.0,25.0,0.0,145.0,17.24137931,37.0,37.0,74.0,50.0
2022 Q1,107.0,28.0,0.0,135.0,20.74074074,24.0,39.0,63.0,38.0952381
2022 Q2,85.0,15.0,0.0,100.0,15.0,29.0,44.0,73.0,39.7260274
2022 Q3,118.0,24.0,5.0,147.0,16.32653061,29.0,36.0,65.0,44.61538462
2022 Q4,102.0,16.0,6.0,124.0,12.90322581,22.0,18.0,40.0,55.0
2023 Q1,116.0,15.0,0.0,131.0,11.45038168,18.0,37.0,55.0,32.72727273
