Filing Quarter,At least 1 prior violent conviction,No prior violent convictions,Total,Percent of defendants with prior violent conviction,Percent of defendants with no prior violent convictions
2017 Q1,5,32,37,13.51351351,86.48648649
2017 Q2,5,33,38,13.15789474,86.84210526
2017 Q3,3,45,48,6.25,93.75
2017 Q4,7,33,40,17.5,82.5
2018 Q1,6,32,38,15.78947368,84.21052632
2018 Q2,9,27,36,25,75
2018 Q3,9,34,43,20.93023256,79.06976744
2018 Q4,6,22,28,21.42857143,78.57142857
2019 Q1,6,26,32,18.75,81.25
2019 Q2,2,27,29,6.896551724,93.10344828
2019 Q3,9,41,50,18,82
2019 Q4,10,39,49,20.40816327,79.59183673
2020 Q1,3,28,31,9.677419355,90.32258065
2020 Q2,4,29,33,12.12121212,87.87878788
2020 Q3,7,36,43,16.27906977,83.72093023
2020 Q4,11,25,36,30.55555556,69.44444444
2021 Q1,7,33,40,17.5,82.5
2021 Q2,9,30,39,23.07692308,76.92307692
2021 Q3,6,29,35,17.14285714,82.85714286
2021 Q4,11,29,40,27.5,72.5
2022 Q1,7,44,51,13.7254902,86.2745098
2022 Q2,6,35,41,14.63414634,85.36585366
2022 Q3,10,43,53,18.86792453,81.13207547
2022 Q4,3,39,42,7.142857143,92.85714286
2023 Q1,4,32,36,11.11111111,88.88888889
2023 Q2,13,43,56,23.21428571,76.78571429
2023 Q3,10,34,44,22.72727273,77.27272727
2023 Q4,3,30,33,9.090909091,90.90909091
2024 Q1,6,29,35,17.14285714,82.85714286
2024 Q2,5,35,40,12.5,87.5
2024 Q3,8,18,26,30.76923077,69.23076923
2024 Q4,7,23,30,23.33333333,76.66666667
