Quarter,Felony Filed,Misdemeanor Filed,Petty Offense/Infraction Filed,Total Felony Referrals,Percent of felony referrals charged as misdemeanors,Felony Charge Reduced to Misdemeanor,Felony Charge Not Reduced to Misdemeanor,Total Felony Charges Disposed,Percent of felony filings disposed as misdemeanors
2017 Q1,1151,21,0,1172,1.791808874,528,475,1003,52.64207378
2017 Q2,1222,36,0,1258,2.861685215,529,460,989,53.48837209
2017 Q3,1342,38,1,1381,2.751629254,518,434,952,54.41176471
2017 Q4,1375,25,0,1400,1.785714286,553,469,1022,54.10958904
2018 Q1,1240,25,1,1266,1.974723539,529,471,1000,52.9
2018 Q2,1312,41,0,1353,3.03030303,596,519,1115,53.4529148
2018 Q3,1378,48,1,1427,3.36370007,541,486,1027,52.67770204
2018 Q4,1189,26,1,1216,2.138157895,567,461,1028,55.15564202
2019 Q1,1240,29,2,1271,2.281667978,562,494,1056,53.21969697
2019 Q2,1373,39,1,1413,2.760084926,594,488,1082,54.89833641
2019 Q3,1319,33,1,1353,2.43902439,552,429,981,56.26911315
2019 Q4,1392,32,1,1425,2.245614035,553,467,1020,54.21568627
2020 Q1,1232,31,1,1264,2.452531646,499,399,898,55.56792873
2020 Q2,1005,33,0,1038,3.179190751,189,201,390,48.46153846
2020 Q3,1083,70,0,1153,6.07111882,330,305,635,51.96850394
2020 Q4,995,38,0,1033,3.678606002,347,311,658,52.73556231
2021 Q1,932,36,0,968,3.719008264,341,348,689,49.49201742
2021 Q2,1045,57,2,1104,5.163043478,391,341,732,53.41530055
2021 Q3,1117,56,0,1173,4.774083546,443,359,802,55.23690773
2021 Q4,1057,60,0,1117,5.371530886,424,389,813,52.15252153
2022 Q1,944,62,0,1006,6.163021869,425,379,804,52.86069652
2022 Q2,906,67,2,975,6.871794872,406,454,860,47.20930233
2022 Q3,1003,59,1,1063,5.550329257,357,393,750,47.6
2022 Q4,974,33,1,1008,3.273809524,322,424,746,43.16353887
2023 Q1,1078,40,4,1122,3.565062389,378,473,851,44.41833137
2023 Q2,953,49,2,1004,4.880478088,387,498,885,43.72881356
2023 Q3,1029,49,0,1078,4.545454545,342,437,779,43.90243902
2023 Q4,974,38,1,1013,3.751233959,340,399,739,46.00811908
2024 Q1,977,47,1,1025,4.585365854,356,433,789,45.12040558
2024 Q2,1053,53,1,1107,4.787714544,341,445,786,43.38422392
2024 Q3,992,46,2,1040,4.423076923,339,460,799,42.42803504
2024 Q4,944,43,0,987,4.356636272,209,279,488,42.82786885
2025 Q1,874,58,0,933,6.216505895,212,254,466,45.49356223
2025 Q2,836,52,5,894,5.81655481,327,394,721,45.35367545
2025 Q3,859,75,0,934,8.029978587,290,406,696,41.66666667
2025 Q4,735,71,0,806,8.808933002,273,355,628,43.47133758
