Quarter,Felony Filed,Misdemeanor Filed,Petty Offense/Infraction Filed,Total Felony Referrals,Percent of felony referrals charged as misdemeanors,Felony Charge Reduced to Misdemeanor,Felony Charge Not Reduced to Misdemeanor,Total Felony Charges Disposed,Percent of felony filings disposed as misdemeanors
2017 Q1,279,20,0,299,6.688963211,94,53,147,63.94557823
2017 Q2,223,23,0,246,9.349593496,78,48,126,61.9047619
2017 Q3,250,20,0,270,7.407407407,69,46,115,60
2017 Q4,196,12,0,208,5.769230769,70,74,144,48.61111111
2018 Q1,182,17,0,199,8.542713568,77,72,149,51.67785235
2018 Q2,238,15,2,255,5.882352941,79,73,152,51.97368421
2018 Q3,211,14,0,225,6.222222222,85,64,149,57.04697987
2018 Q4,255,19,4,278,6.834532374,83,66,149,55.70469799
2019 Q1,219,7,2,228,3.070175439,61,95,156,39.1025641
2019 Q2,236,10,1,247,4.048582996,78,75,153,50.98039216
2019 Q3,250,9,0,259,3.474903475,87,76,163,53.37423313
2019 Q4,204,10,0,214,4.672897196,72,71,143,50.34965035
2020 Q1,262,15,4,281,5.338078292,73,78,151,48.34437086
2020 Q2,245,13,0,258,5.03875969,56,53,109,51.37614679
2020 Q3,235,20,3,258,7.751937984,84,64,148,56.75675676
2020 Q4,185,10,3,198,5.050505051,62,60,122,50.81967213
2021 Q1,213,13,1,227,5.726872247,63,65,128,49.21875
2021 Q2,202,16,0,218,7.339449541,51,85,136,37.5
2021 Q3,233,14,0,247,5.668016194,48,66,114,42.10526316
2021 Q4,200,17,0,217,7.834101382,49,69,118,41.52542373
2022 Q1,172,16,0,188,8.510638298,53,85,138,38.4057971
2022 Q2,168,9,0,177,5.084745763,50,78,128,39.0625
2022 Q3,207,9,0,216,4.166666667,66,56,122,54.09836066
2022 Q4,158,18,2,179,10.05586592,49,52,101,48.51485149
2023 Q1,152,17,1,170,10,59,32,91,64.83516484
2023 Q2,139,13,1,153,8.496732026,54,54,108,50
2023 Q3,185,12,0,197,6.091370558,41,46,87,47.12643678
2023 Q4,138,11,0,149,7.382550336,31,49,80,38.75
2024 Q1,145,20,0,165,12.12121212,39,48,87,44.82758621
2024 Q2,159,17,0,176,9.659090909,38,44,82,46.34146341
2024 Q3,188,9,1,198,4.545454545,40,50,90,44.44444444
2024 Q4,170,12,0,182,6.593406593,61,22,83,73.4939759
2025 Q1,146,13,0,159,8.176100629,24,22,46,52.17391304
2025 Q2,156,16,0,172,9.302325581,38,32,70,54.28571429
