Filing Quarter,Victim contact,No victim contact,Total,Percent of cases with at least one contact
2018 Q1,56,25,81,69.13580247
2018 Q2,72,11,83,86.74698795
2018 Q3,84,13,97,86.59793814
2018 Q4,60,13,73,82.19178082
2019 Q1,65,17,82,79.26829268
2019 Q2,59,15,74,79.72972973
2019 Q3,74,10,84,88.0952381
2019 Q4,66,9,75,88
2020 Q1,73,15,88,82.95454545
2020 Q2,66,8,74,89.18918919
2020 Q3,81,14,95,85.26315789
2020 Q4,54,17,71,76.05633803
2021 Q1,69,18,87,79.31034483
2021 Q2,73,9,82,89.02439024
2021 Q3,83,10,93,89.24731183
2021 Q4,61,11,72,84.72222222
2022 Q1,80,9,89,89.88764045
2022 Q2,74,9,83,89.15662651
2022 Q3,71,10,81,87.65432099
2022 Q4,77,5,82,93.90243902
2023 Q1,60,4,64,93.75
2023 Q2,72,7,79,91.13924051
2023 Q3,72,4,76,94.73684211
2023 Q4,74,10,84,88.0952381
2024 Q1,74,8,82,90.24390244
2024 Q2,57,6,63,90.47619048
2024 Q3,78,10,88,88.63636364
2024 Q4,67,5,72,93.05555556
2025 Q1,61,9,70,87.14285714
2025 Q2,56,17,73,76.71232877
